Date,RF
3/1/2016 0:00,0
3/1/2016 1:00,0
3/1/2016 2:00,0
3/1/2016 3:00,0
3/1/2016 4:00,0
3/1/2016 5:00,0
3/1/2016 6:00,0
3/1/2016 7:00,0
3/1/2016 8:00,0
3/1/2016 9:00,0
3/1/2016 10:00,0
3/1/2016 11:00,0
3/1/2016 12:00,0
3/1/2016 13:00,0
3/1/2016 14:00,0
3/1/2016 15:00,0
3/1/2016 16:00,0
3/1/2016 17:00,0
3/1/2016 18:00,0
3/1/2016 19:00,0
3/1/2016 20:00,0
3/1/2016 21:00,0
3/1/2016 22:00,0.023
3/1/2016 23:00,0
3/2/2016 0:00,0
3/2/2016 1:00,0.054
3/2/2016 2:00,0.023
3/2/2016 3:00,0
3/2/2016 4:00,0
3/2/2016 5:00,0.054
3/2/2016 6:00,0
3/2/2016 7:00,0
3/2/2016 8:00,0
3/2/2016 9:00,0
3/2/2016 10:00,0
3/2/2016 11:00,0
3/2/2016 12:00,0
3/2/2016 13:00,0
3/2/2016 14:00,0
3/2/2016 15:00,0
3/2/2016 16:00,0
3/2/2016 17:00,0
3/2/2016 18:00,0
3/2/2016 19:00,0
3/2/2016 20:00,0
3/2/2016 21:00,0
3/2/2016 22:00,0.023
3/2/2016 23:00,0
3/3/2016 0:00,0
3/3/2016 1:00,0.023
3/3/2016 2:00,0
3/3/2016 3:00,0
3/3/2016 4:00,0
3/3/2016 5:00,0
3/3/2016 6:00,0
3/3/2016 7:00,0
3/3/2016 8:00,0
3/3/2016 9:00,0
3/3/2016 10:00,0
3/3/2016 11:00,0
3/3/2016 12:00,0
3/3/2016 13:00,0.056
3/3/2016 14:00,0
3/3/2016 15:00,0
3/3/2016 16:00,0
3/3/2016 17:00,0
3/3/2016 18:00,0
3/3/2016 19:00,0
3/3/2016 20:00,0
3/3/2016 21:00,0
3/3/2016 22:00,0
3/3/2016 23:00,0
3/4/2016 0:00,0
3/4/2016 1:00,0
3/4/2016 2:00,0
3/4/2016 3:00,0
3/4/2016 4:00,0
3/4/2016 5:00,0
3/4/2016 6:00,0
3/4/2016 7:00,0
3/4/2016 8:00,0
3/4/2016 9:00,0
3/4/2016 10:00,0
3/4/2016 11:00,0
3/4/2016 12:00,0
3/4/2016 13:00,0
3/4/2016 14:00,0
3/4/2016 15:00,0.08
3/4/2016 16:00,0
3/4/2016 17:00,0
3/4/2016 18:00,0.03
3/4/2016 19:00,0
3/4/2016 20:00,0
3/4/2016 21:00,0
3/4/2016 22:00,0
3/4/2016 23:00,0
3/5/2016 0:00,0
3/5/2016 1:00,0
3/5/2016 2:00,0.023
3/5/2016 3:00,0
3/5/2016 4:00,0
3/5/2016 5:00,0
3/5/2016 6:00,0
3/5/2016 7:00,0
3/5/2016 8:00,0
